,SFC,,,,,,jitaku,,,,,,setagaya,,,,,
,1,2,3,4,5,SUM,1,2,3,4,5,SUM,1,2,3,4,5,SUM
AS2500,2,2,6,2,2,14,,1,,,,1,,,,,,0
AS38635,2,5,,2,2,11,,5,,,,5,,3,,,,3
AS2907,2,,,3,4,9,,,,,,0,,1,,,,1
AS2497,3,,,,,3,,,,,,0,,,,,,0
AS15169,,,4,,,4,,,9,,,9,,,3,,,3
AS0,,,,1,,1,3,4,4,3,3,17,1,2,1,3,2,9
AS16509,,,,3,,3,,,,,,0,,,,,,0
AS20965,,,,,2,2,,,,,,0,,,,,,0
AS36944,,,,,1,1,,,,,,0,,,,,,0
AS36914,,,,,3,3,,,,,3,3,,,,,,0
AS17676,,,,,,0,2,1,2,2,2,9,,,,,,0
AS2914,,,,,,0,,,,,3,3,,,,,4,4
AS174,,,,,,0,,,,,14,14,,,,,,0
AS2518,,,,,,0,,,,,,0,2,2,,2,2,8
AS16509,,,,,,0,,,,,,0,,,,5,,5
